Id;Manufacturer;ProductID;LabWareType;Description;ImageLink/URL;UNSPSC;eClass;Vendor;CatalogueID;WellCount;ColumnCount;RowCount;LabwareLength/mm;LabwareWidth/mm;LabwareHeight/mm;Mass/g;LabwareMaterial;SurfaceTreatment;Color;WellVolume/ul;A1Position/(col,row);WellDiameter/mm;WellColDistance/mm;WellRowDistance/mm;WellDepth/mm;WellShape;WellBottomShape;Liddable/bool;Lid/((Manufacturer, ProdID));Applications;AcceptableLids
bottle-500;not_applicable;not_applicable;;500mL Bottle;;;;;;1;1;1;158.1;109.1;333;;;;;500000;;;;;0;;;;;cover, dispense-source, incubate, provision, spin, transfer, uncover;screw-cap
mtp_96_pcr-thermowell;Corning;6511;;96-Well Thermowell Polycarbonate PCR Microplates;;;;;;96;12;8;159.1;110.1;14.5;;;;;200;;;;;12.7;;;;;agitate, colonize, cover, deseal, dispense, dispense-destination, dispense-source, echo_dest, incubate, liquid_handle, miniprep_source, pipette, provision, seal, spin, stamp, thermocycle, transfer, uncover;breathable, ultra-clear, foil
mtp_96_pcr;Eppendorf;951020619;;96-Well twin.tec PCR Plate;;;;;;96;12;8;160.1;111.1;15.9;;;;;160;;;;;14.6;;;;;bluewash, dispense-destination, echo_dest, envision, flash_freeze, image_plate, incubate, magnetic_separate, magnetic_transfer_pcr, miniprep_destination, qrt_thermocycle, sanger_sequence, seal, spin, stamp, thermocycle;ultra-clear, foil, breathable, low_evaporation
micro-1.5;USA Scientific;1615-5500;;1.5mL Microcentrifuge tube;;;;;;1;1;1;161.1;112.1;13;;;;;1650;;;;;36;;;;;flash_freeze, incubate, maxiprep_destination, miniprep_destination, sanger_sequence_primer, spin, spin;
mtp_384_round-clear-clear;Corning;3657;;384-Well Clear Round Bottom Polypropylene Not Treated Microplate;;;;;;384;24;16;162.1;113.1;14.22;;;;;70;;;;;11.57;;;;;cover, deseal, dispense-destination, echo_dest, envision, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;universal, standard, ultra-clear, foil
mtp_384_6-flat;Eppendorf;30720016;;6-Well Non-Treated Sterile Plate;;;;;;6;3;2;163.1;114.1;19;;;;;5000;;;;;16.5;;;;;colonize, dispense-destination, envision, image_plate, incubate;standard, universal
mtp_1536_echo-ldv-beckman-001-6969;Beckman;001-6969;;1536-well Echo low dead volume Beckman-001-6969 plate;;;;;;1536;48;32;164.1;115.1;10.48;;;;;6;;;;;5.15;;;;;cover, uncover, seal, unseal, echo_source, echo_dest, provision, pipette, liquid_handle, spin, incubate;universal, ultra-clear, foil
mrv-medium;unknown;unknown;;Medium MRV;;;;;;1;1;1;165.1;116.1;83.5;;;;;5000;;;;;81.5;;;;;agitate, cover, dispense, evaporate, image, incubate, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap
mtp_384_flat-white-white-proxiplate-plus;PerkinElmer;6008280;;384-well flat-bottom polystyrene proximity plus plate;;;;;;384;24;16;166.1;117.1;14.35;;;;;28;;;;;5.3;;;;;cover, dispense, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, uncover, unseal;universal, ultra-clear, foil
mtp_96_well-v-bottom;Corning;3894;;96-well cell culture multiple well plate, V bottom;;;;;;96;12;8;167.1;118.1;3.25;;;;;200;;;;;10.668;;;;;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil
flask-250;not_applicable;not_applicable;;250mL Flask;;;;;;1;1;1;168.1;119.1;14;;;;;250000;;;;;0;;;;;cover, dispense-source, incubate, maxiprep_source, provision, seal, spin, transfer, uncover;screw-cap
mtp_384_flat-white-clear;Corning;3763;;384-well flat-bottom polystyrene plate;;;;;;384;24;16;169.1;120.1;14.22;;;;;90;;;;;11.56;;;;;absorbance, bluewash, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, gel_purify, gel_separate, incubate, luminescence, pipette, seal, spin, stamp, uncover, unseal;standard, universal, ultra-clear
mtp_96_flat-clear-clear-tc;Eppendorf;30730119;;96-Well Flat TC-Treated Polystyrene Microplate;;;;;;96;12;8;170.1;121.1;14.4;;;;;340;;;;;11.3;;;;;cover, dispense-destination, envision, gel_purify, gel_separate, incubate, pipette, spin, stamp;low_evaporation, standard, universal
res-swmtp_384_lp;Axygen;res-sw384-lp;;1-Well Reagent Reservoir with 384-Bottom Troughs, Low Profile;;;;;;1;1;1;171.1;122.1;19.05;;;;;92000;;;;;11.96;;;;;cover, dispense, incubate, liquid_handle, pipette, stamp;universal
mtp_384_echo-ldv-plus;Labcyte;LPL-0200;;384-well Echo low dead volume plus plate;;;;;;384;24;16;172.1;123.1;10.48;;;;;14;;;;;5.1;;;;;liquid_handle, seal, spin, incubate, dispense, cover, dispense-destination, echo_source, echo_dest;universal, ultra-clear, foil
